                   i   I
                   m   n     M M R R
           o       m   s     e e e e
           p       | i t     m m g g
           c       v n R l l R W R W
    c      o       a c e d d e r e r                                                                         B
    l inst d R R R l P a I P a i a i                                                                         E brnh
tim k addr e S T D u C d R C d t d t S0~S7    R0       R1       R2       R3       ALUout   data     T0-7     Q addr
-e- - ---- --------e - - - - - e - e -------- -------- -------- -------- -------- -------- -------- -------- - --------
 36 1    2 5-3-2-0-1 0 1 0 0 0 0 0 0 10000000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 0 00000003
 37 0    2 5-3-2-0-1 0 1 0 0 0 0 0 0 10000000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 0 00000003
 38 1    2 5-3-2-0-1 0 0 1 0 0 0 0 0 01000000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 0 00000003
 39 0    2 5-3-2-0-1 0 0 1 0 0 0 0 0 01000000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 0 00000003
 40 1    2 5-3-2-0-1 0 0 0 0 0 0 1 0 00100000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 41 0    2 5-3-2-0-1 0 0 0 0 0 0 1 0 00100000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 42 1    2 5-3-2-0-1 0 0 0 0 0 0 0 0 00010000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 43 0    2 5-3-2-0-1 0 0 0 0 0 0 0 0 00010000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 44 1    2 5-3-2-0-1 0 0 0 0 1 0 0 0 00001000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 45 0    2 5-3-2-0-1 0 0 0 0 1 0 0 0 00001000 00000003 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000003
 46 1    3 5-3-2-0-1 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 47 0    3 5-3-2-0-1 1 0 0 0 0 0 0 1 00000100 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 48 1    3 5-3-2-0-1 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 49 0    3 5-3-2-0-1 0 0 0 0 0 0 0 0 00000010 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 50 1    3 5-3-2-0-1 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 51 0    3 5-3-2-0-1 0 0 0 0 0 0 0 0 00000001 xxxxxxxx 00000001 00000002 00000002 00000000 xxxxxxxx 00000100 1 00000004
 52 1    3 3-2-3-1-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 53 0    3 3-2-3-1-X 0 1 0 0 0 0 0 0 10000000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 54 1    3 3-2-3-1-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 55 0    3 3-2-3-1-X 0 0 1 0 0 0 0 0 01000000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 56 1    3 3-2-3-1-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 57 0    3 3-2-3-1-X 0 0 0 0 0 0 1 0 00100000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 58 1    3 3-2-3-1-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 59 0    3 3-2-3-1-X 0 0 0 0 0 0 0 0 00010000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
 60 1    3 3-2-3-1-X 0 0 0 0 0 0 0 0 00001000 xxxxxxxx 00000001 00000002 00000002 00000002 xxxxxxxx 00010000 1 xxxxxxxx
